stock,data_points,rmse,mae,error_pct,current_price,predicted_price,change,change_pct
TECHM,1239,56.757278502651225,46.92534101770279,3.786108362419988,1612.0,1573.8145,-38.185546875,-2.3688304513027294
AXISBANK,1239,30.39714964679952,22.504708148063497,2.583484711983654,1266.9000244140625,1235.0842,-31.8157958984375,-2.511310702133123
GRASIM,1239,81.95020159545022,67.50095059009308,2.9712353903192223,2856.39990234375,2779.672,-76.727783203125,-2.6861709083580303
ADANIPORTS,1239,48.87438709913615,40.50334589532081,3.487018339862793,1489.5,1448.4869,-41.0130615234375,-2.7534784507175223
BAJAJFINSV,1239,65.61236631667872,53.97403148894619,3.2411462386781302,2038.4000244140625,1977.3446,-61.055419921875,-2.9952619304655554
RELIANCE,1239,39.43734512808237,31.015420467295545,2.747292019089696,1592.300048828125,1540.4506,-51.8494873046875,-3.2562636258691846
HINDALCO,1239,22.479427810173107,15.504305575756316,3.1092371791242708,925.7000122070312,894.129,-31.57098388671875,-3.410498376406843
CIPLA,1239,55.598540508010664,47.731472583527264,3.6727602395796803,1511.5999755859375,1458.0139,-53.5860595703125,-3.5449894440188174
INDUSINDBK,1239,25.95605433195655,19.607516998940326,3.227693380527924,902.4500122070312,870.0021,-32.44793701171875,-3.5955384312494045
UPL,1239,20.13256431323612,15.944233346492684,2.9092087566513247,804.6500244140625,774.13556,-30.51446533203125,-3.7922655075107414
SBIN,1239,23.125977882449753,19.507690429687504,2.7073970186712963,998.9500122070312,958.8528,-40.09722900390625,-4.013937485752405
SBILIFE,1239,57.73607469426525,48.607097219913506,3.1320612009045465,2067.39990234375,1970.811,-96.5888671875,-4.671997279191126
BAJAJ-AUTO,1239,273.79990634043,217.1183770362367,3.1896265418589484,9502.5,9043.251,-459.2490234375,-4.832928423441199
BPCL,1239,10.534410156013294,8.20271544760846,3.229196600540217,381.4500122070313,362.9127,-18.537322998046932,-4.859699149252047
EICHERMOT,1239,272.6993601720368,223.99507043716756,4.401443868475256,7334.5,6957.783,-376.716796875,-5.136230102597314
SHREECEM,1237,1524.9887561851747,1385.5007791722073,5.215331562282263,27045.0,25639.652,-1405.34765625,-5.196330768164171
M&M,1239,109.00409568851425,85.04934108003658,3.2863146346323453,3802.39990234375,3590.5166,-211.88330078125,-5.572357096123632
TITAN,1239,159.60171231596365,138.6224936627327,4.44517627630074,4051.699951171875,3825.6594,-226.04052734375,-5.578905893028239
ONGC,1239,9.649470898847477,8.596633099495104,4.078785289146612,241.4600067138672,227.5467,-13.913299560546875,-5.76215488018034
COALINDIA,1239,7.8725738094915085,6.270480216817636,2.0970747651336477,427.8999938964844,401.28802,-26.611968994140625,-6.219202938474093
JSWSTEEL,1239,33.66377125327984,27.799602102726094,3.13538131929883,1180.699951171875,1101.1827,-79.5172119140625,-6.7347518592797115
TATASTEEL,1239,6.903069232682935,5.463801972409512,4.266753853181327,182.8800048828125,170.297,-12.5830078125,-6.88047215471317
HEROMOTOCO,1239,193.601939754107,146.2512064183012,3.9529565729984144,5933.0,5499.6143,-433.3857421875,-7.3046644562194505
NTPC,1239,5.5557097216548765,4.158614300666972,1.6714097235052632,352.1000061035156,326.05188,-26.048126220703125,-7.3979340440696015
MARUTI,1239,787.0308918913684,668.1686076712101,5.574586923238448,16960.0,15696.865,-1263.134765625,-7.447728570902122
BAJFINANCE,1239,79.22995632030751,75.48287736608627,8.276883424378232,990.4500122070312,905.95746,-84.4925537109375,-8.530723678084648
